127.0.0.1 - - [26/Jul/2016:13:55:49 +0800] "GET / HTTP/1.1" 200 11452
127.0.0.1 - - [26/Jul/2016:13:55:51 +0800] "GET /ADNursingServer/ HTTP/1.1" 404 1026
192.168.191.4 - - [26/Jul/2016:14:03:28 +0800] "POST /ADNursingServer/android/login.jsp?mode=android HTTP/1.1" 200 14
192.168.191.4 - - [26/Jul/2016:14:03:29 +0800] "POST /ADNursingServer/servlet/ViewPostByKindServlet?mode=android HTTP/1.1" 200 1705
192.168.191.4 - - [26/Jul/2016:14:03:29 +0800] "POST /ADNursingServer/servlet/ViewPostByKindServlet?mode=android HTTP/1.1" 200 2920
192.168.191.4 - - [26/Jul/2016:14:03:29 +0800] "POST /ADNursingServer/servlet/ViewPostByKindServlet?mode=android HTTP/1.1" 200 713
192.168.191.4 - - [26/Jul/2016:14:03:29 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=ab1204cd-cad4-46bf-ae05-ef17573456dc_6.jpg&url=E:\ADNursing\image\ab1204cd-cad4-46bf-ae05-ef17573456dc_6.jpg HTTP/1.1" 200 11281
192.168.191.4 - - [26/Jul/2016:14:03:29 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=6e20ac74-974b-469a-b047-8882079ba8bd_7.jpg&url=E:\ADNursing\image\6e20ac74-974b-469a-b047-8882079ba8bd_7.jpg HTTP/1.1" 200 12542
192.168.191.4 - - [26/Jul/2016:14:03:29 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=ab1204cd-cad4-46bf-ae05-ef17573456dc_6.jpg&url=E:\ADNursing\image\ab1204cd-cad4-46bf-ae05-ef17573456dc_6.jpg HTTP/1.1" 200 11281
192.168.191.4 - - [26/Jul/2016:14:03:29 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=bf66f0af-0308-454a-970a-4788298546a8_cat3.jpg&url=E:\ADNursing\image\bf66f0af-0308-454a-970a-4788298546a8_cat3.jpg HTTP/1.1" 200 16620
192.168.191.4 - - [26/Jul/2016:14:03:29 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=81877104-3f6f-4f9c-80ee-e467426b688d_3.jpg&url=E:\ADNursing\image\81877104-3f6f-4f9c-80ee-e467426b688d_3.jpg HTTP/1.1" 200 6239
